Name,Price,Fuel Type,Transmission,Kilometers Driven,Make Year,Owner,location,Year,Location
2023 Renault Kiger RXZ TURBO CVT,911000.0,Petrol,Automatic,28526,Feb 2023,1,Bangalore North Bengaluru Urban Karnataka,2023,Bangalore North Bengaluru Urban Karnataka
2021 Renault Kiger RXT 1.0 TURBO MT,611000.0,Petrol,Manual,73356,Feb 2021,3,Sector 32 Gurugram,2021,Sector 32 Gurugram
2017 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,785000.0,Diesel,Automatic,69594,Jun 2017,1,Bidare Agraha Bengaluru,2017,Bidare Agraha Bengaluru
2015 Renault Duster 85 PS RXE DIESEL,550000.0,Diesel,Manual,57619,Feb 2015,1,J. P. Nagar Bengaluru Karnataka,2015,J. P. Nagar Bengaluru Karnataka
2015 Renault Duster 85 PS RXL DIESEL,507000.0,Diesel,Manual,73993,Jul 2015,2,Kothanur Bengaluru Karnataka,2015,Kothanur Bengaluru Karnataka
2017 Renault Duster RXL PETROL,598000.0,Petrol,Manual,53000,Mar 2017,3,BTM Layout Bengaluru Karnataka,2017,BTM Layout Bengaluru Karnataka
2021 Renault Kiger RXZ TURBO CVT DUAL TONE,780000.0,Petrol,Automatic,29200,Mar 2021,2,Gottigere Bengaluru Karnataka,2021,Gottigere Bengaluru Karnataka
2023 Renault Kiger RXT (O) MT DUAL TONE,780000.0,Petrol,Manual,8310,Feb 2023,1,Kalyan Nagar Bengaluru Karnataka,2023,Kalyan Nagar Bengaluru Karnataka
2022 Renault Kiger RXT (O) AMT DUAL TONE,700000.0,Petrol,Automatic,44840,Jun 2022,2,Electronic City Bengaluru Karnataka,2022,Electronic City Bengaluru Karnataka
2018 Renault Duster RXS CVT,594000.0,Petrol,Automatic,62716,Sep 2018,1,Doddakannelli Bengaluru Karnataka,2018,Doddakannelli Bengaluru Karnataka
2023 Renault Kiger RXT (O) AMT,836000.0,Petrol,Automatic,4123,Aug 2023,1,Amrutahalli Bengaluru Karnataka,2023,Amrutahalli Bengaluru Karnataka
2021 Renault Duster RXZ 1.5 PETROL MT,836999.9999999999,Petrol,Manual,41255,Mar 2021,2,Sannatammanahalli Katamnallur Karnataka,2021,Sannatammanahalli Katamnallur Karnataka
2012 Renault Duster 110 PS RXL DIESEL,360000.0,Diesel,Manual,138623,Dec 2012,3,Doddabidarakull Bengaluru Karnataka,2012,Doddabidarakull Bengaluru Karnataka
2012 Renault Duster 85 PS RXL DIESEL,350000.0,Diesel,Manual,202593,Jul 2012,1,Vijayanagar Bengaluru Karnataka,2012,Vijayanagar Bengaluru Karnataka
2013 Renault Duster 110 PS RXZ DIESEL,458000.0,Diesel,Manual,140900,Feb 2013,1,Jayanagar Bengaluru Karnataka,2013,Jayanagar Bengaluru Karnataka
2012 Renault Duster 110 PS RXL 4X4 MT DIESEL,399000.0,Diesel,Manual,103135,Oct 2012,2,Akshayanagar Bengaluru,2012,Akshayanagar Bengaluru
2014 Renault Duster 110 PS RXL ADVENTURE,454000.0,Diesel,Manual,149001,Jun 2014,2,Benson Town Bengaluru,2014,Benson Town Bengaluru
